Negative Sentiment,Ratings
not recommended,0
nollywood keeps disgracing us,0
ABSOLUTE RUBBISH,0
save yourself from this distateful movie,0
I am livid,0
"This film is well intended and tries to go in depth on the issue, but sadly the filmmaking is so incompetent that it takes any emotional impact away.",0.5
"Absolute Garbage
Not even worth being filmed. Actors are weak, script was written by a 12 year old. Poor sound quality.",1
"Depressingly Boring and Pointless

There was a time Nigerian movies did engage you. Now its getting worse. Its like someone just comes up with a different story and tries to force it on everyone by using top actors. At the end, the movie fails in every way. The director needs a reorientation.",1
"Trash.

Pointless movie with mostly terrible acting and very shallow characters. It doesn't help either that it was basically full of tribalist jabs at Igbo from Yoruba people.",1
"Awful

The most stupid and dumb storyline in Nigerian movies history. Please don't waste your time.",1
There was nothing good about this movie,1
A fine way to completely ruin your day,1
Missed opportunity,1
"MESSED UP MOVIE
No lesson learnt. Too many star actors. Highly disappointed in all of them. The big actors all of a sudden sound foolish in one movie. Those that are not comedians decided to try out with this movie. Unserious roles. Please we don't want part2. Its enough here",1
"Poor acting with shallow characters

I really couldn't wait to watch this movie only to get disappointed! The whole thing felt forced and rushed. Porous acting with shallow characters. I was cringing throughout because it was simply not funny.",1
"When is going to end?

To summarize the plot, it was leaking like a sieve.

The characters somehow became a lot more annoying and unrealistic, plus no tangible development. Was it funny? Maybe it could be if you don't spend the near 2hrs watching the movie wanting to punch the director/screenwriter.

Why do these caliber of films make it past the home video format and into the big screens (platform wise) in big 2022? The world is watching, and these people are doing Nollywood's reputation no good... look at Nigeria's music industry for a change!",1
"A WASTE OF TIME

Wow... Chief daddy 2 is way worse than chief daddy 1, and I would rate chief daddy 1, a good 0.5/5.

This movie is bad... Very bad

Story line is incoherent, plot was non existent, actors were below par.

I am shocked that this came from Ebonylife studios. A star studded cast did nothing for the movie... Except make it obvious that the director Niyi Akinmolayan has no idea what he was doing.

I am also shocked that Mo Abudu is the writer.

This movie is worse than appalling

It was a waste if 1hr and 50 mins.

This is the first disaster of 2022.

If I would beg for one thing...

DO NOT SEE THIS MOVIE!

Rating: E better to fast than chop nonsense (-5/5) 😠😠😠😠",1
