Positive Reviews,Ratings,
"Beautiful acting, beautiful directing, not so great story
I had to open an account just to review this movie. The acting in this was of the hook. There is some serious talent shown. It was beautiful to look at too. I however was disappointed by the story line. By the end of the movie I didn't feel the title ""King of boys"" was justified. The running time was also too long. That said, I love the cast and cinematography...the costumes and music.....the blend of languages and realistic depiction of our country (Nigeria). This is a beautiful work of art.",7,
"Good movie, would love to see a continuation of this movie.",7,
"One thing I like about the movie is the way the story was told and the ways the actors interpreted it. The writers, directors and cinematographers deserve an applaud for this effort. But she should have cut off some unnecessary scenes including music performances. Good movie export for Nollywood. Got to admit the best I have seen so far in years. My star rating is for Nollywood not international. Thanks",7,
"If you enjoyed the Godfather then you'll enjoy this. The storyline was beautiful and the plot twist at the end was incredible but there was some very unrealistic scenes that prove to be plot holes. SPOILER ALERT. The shooter of Eniola's daughter had his hand high in the air only for the bullet to hit her stomach. The phrase which the police chief had used when dropping the bribe is not one someone would repeat unconsciously. And finally the fire at the prison only showed outside when the officer entered the prison there was no fire in sight neither was the place hot. By all logic Eniola was supposed to die in that prison due to suffocation but she miraculously was unharmed, the prison bars didn't even get heated. But all in all the plot is very solid.",7,
"On a Nollywood scale I'll give this movie an 9 because of it's unique storyline and excellent production which sets it aside from other Nigerian movies but just like other Nigerian movies it was excessively long and had extras who didn't know their roles, some part of the movie was unrealistic eg. the fire on the cell part but that's not the issue, the issue is this; as i was watching the movie I couldn't help but feel nostalgic, after a few minutes of brainstorming I remembered where i had seen the movie before if you can't remember I'll remind you, it's Al Pacino meets Francis Ford, yes The Godfather II to be precise. My original rating was an 8 but because of it's lack of originality i give it a 4 on a world scale and 9 on Nollywood scale. If other Nigerian directors can learn from this and just remake Hollywood classics the Nigerian cinema would be a better place.",7,
"An imporvement on most Nigerian Movies, but not perfect
This movie was recomendd to me by my wife. it's a good overal production with some very good acting and production design. Eni Salami is a chracter that sticks with you long after the movie has finished. My main complaint with the movie is the lack of competent editing. Easily 30 mins could have been cut out. There was lots of over drawn out dialog and scenes that basically did not need to be included. In summary a good movie, one of the better Nigerian productions, but could have been much better, with some improved post produciton work",7,
"Beautiful acting, beautiful directing, not so great story
I had to open an account just to review this movie. The acting in this was of the hook. There is some serious talent shown. It was beautiful to look at too. I however was disappointed by the story line. By the end of the movie I didn't feel the title ""King of boys"" was justified. The running time was also too long. That said, I love the cast and cinematography...the costumes and music.....the blend of languages and realistic depiction of our country (Nigeria). This is a beautiful work of art.",7,
"Still one of the Best Nigerian films of 2017
Isoken is a great film showcasing the culture of the area of the country. The layout, filming, colors and dressing tell much of the tradition quite well. The film has quite a good inject of laughter and great acting (Isoken, her mother, black boyfriend). However, like most Nigerian films, it becomes too predictable and by halfway, you can guess the end. which is usually a Cinderella ending. the last 10 minutes do the most harm to the film: flying out the next day and the whole family rushing out to meet the new bf at a party ??. Not in nature of the culture around here.

The film is a worthy film of Nigeria and great to learn some of the culture. Especially about weddings and how they are planned. Great work. Expect a better 2nd part someday",7,
"Great Movie, Great Acting.

Great movie, great acting. would be nice to see a part 2 of it.",7,
"Not serious but hilarious

Hardly was there a period of 5 minute in this movie with nothing to smile, chuckle or laugh about. I don't think there is a Nigerian movie that beats this in it's genre (Fictional Comedy). The movie effects were as well commendable.",7,
