review,sentiment
"Beautiful acting, beautiful directing, not so great story
I had to open an account just to review this movie. The acting in this was of the hook. There is some serious talent shown. It was beautiful to look at too. I however was disappointed by the story line. By the end of the movie I didn't feel the title ""King of boys"" was justified. The running time was also too long. That said, I love the cast and cinematography...the costumes and music.....the blend of languages and realistic depiction of our country (Nigeria). This is a beautiful work of art.",positive
"Good movie, would love to see a continuation of this movie.",positive
"One thing I like about the movie is the way the story was told and the ways the actors interpreted it. The writers, directors and cinematographers deserve an applaud for this effort. But she should have cut off some unnecessary scenes including music performances. Good movie export for Nollywood. Got to admit the best I have seen so far in years. My star rating is for Nollywood not international. Thanks",positive
"If you enjoyed the Godfather then you'll enjoy this. The storyline was beautiful and the plot twist at the end was incredible but there was some very unrealistic scenes that prove to be plot holes. SPOILER ALERT. The shooter of Eniola's daughter had his hand high in the air only for the bullet to hit her stomach. The phrase which the police chief had used when dropping the bribe is not one someone would repeat unconsciously. And finally the fire at the prison only showed outside when the officer entered the prison there was no fire in sight neither was the place hot. By all logic Eniola was supposed to die in that prison due to suffocation but she miraculously was unharmed, the prison bars didn't even get heated. But all in all the plot is very solid.",positive
"On a Nollywood scale I'll give this movie an 9 because of it's unique storyline and excellent production which sets it aside from other Nigerian movies but just like other Nigerian movies it was excessively long and had extras who didn't know their roles, some part of the movie was unrealistic eg. the fire on the cell part but that's not the issue, the issue is this; as i was watching the movie I couldn't help but feel nostalgic, after a few minutes of brainstorming I remembered where i had seen the movie before if you can't remember I'll remind you, it's Al Pacino meets Francis Ford, yes The Godfather II to be precise. My original rating was an 8 but because of it's lack of originality i give it a 4 on a world scale and 9 on Nollywood scale. If other Nigerian directors can learn from this and just remake Hollywood classics the Nigerian cinema would be a better place.",positive
"An imporvement on most Nigerian Movies, but not perfect
This movie was recomendd to me by my wife. it's a good overal production with some very good acting and production design. Eni Salami is a chracter that sticks with you long after the movie has finished. My main complaint with the movie is the lack of competent editing. Easily 30 mins could have been cut out. There was lots of over drawn out dialog and scenes that basically did not need to be included. In summary a good movie, one of the better Nigerian productions, but could have been much better, with some improved post produciton work",positive
"Beautiful acting, beautiful directing, not so great story
I had to open an account just to review this movie. The acting in this was of the hook. There is some serious talent shown. It was beautiful to look at too. I however was disappointed by the story line. By the end of the movie I didn't feel the title ""King of boys"" was justified. The running time was also too long. That said, I love the cast and cinematography...the costumes and music.....the blend of languages and realistic depiction of our country (Nigeria). This is a beautiful work of art.",positive
"Still one of the Best Nigerian films of 2017
Isoken is a great film showcasing the culture of the area of the country. The layout, filming, colors and dressing tell much of the tradition quite well. The film has quite a good inject of laughter and great acting (Isoken, her mother, black boyfriend). However, like most Nigerian films, it becomes too predictable and by halfway, you can guess the end. which is usually a Cinderella ending. the last 10 minutes do the most harm to the film: flying out the next day and the whole family rushing out to meet the new bf at a party ??. Not in nature of the culture around here.

The film is a worthy film of Nigeria and great to learn some of the culture. Especially about weddings and how they are planned. Great work. Expect a better 2nd part someday",positive
"Great Movie, Great Acting.

Great movie, great acting. would be nice to see a part 2 of it.",positive
"Not serious but hilarious

Hardly was there a period of 5 minute in this movie with nothing to smile, chuckle or laugh about. I don't think there is a Nigerian movie that beats this in it's genre (Fictional Comedy). The movie effects were as well commendable.",positive
"Honest review from European Woman with Netflix subscription
I couldn't understand the low rating and the very high reviews some people stated where unrealistic or even paid to write. Since the movie popped up on my Netflix home screen I decided to give it a go and write an honest unpaid review. And this is just my opinion. I am a woman from Europe, an entirely different culture than the African one, but since this is a movie, and I watched it, I am entitled to my opinion! At first I was skeptical and I couldn't figure out what to think of it the first 30 minutes. But the acting was fine, I totally and absolutely loved the chemistry between the strong female lead and her uncle. What a character! This wasn't a heavy, dramatic movie, more a light hearted fast paced flick with a lot of elements that are almost comical. Hallmark like camera and music and I liked the directing and camera. The only thing I wasn't really happy about was that the movie quite suddenly was over. It could have used like ten minutes more of even a bit longer to work things out with the possible love interest. Conclusion: I liked it, I enjoyed myself, it was not a master piece, but a nice watch. Well done.",positive
fun movie,positive
Best of the best,positive
"Very good, if not wholly fulfilling

It's unfortunate that 'The figurine' hasn't gotten a great deal of attention outside of Nigeria, as it's a worthy view - a drama and thriller, with supernatural elements, that keeps us watching from start to finish.

The film follows two friends, just setting out in life, who find an abandoned shrine and a totem inside that local legend says will grant seven years of good fortune. The catch is that legend says seven years of bad luck will follow.

I stumbled onto 'The figurine' while searching for something else, totally unaware of the accolades and high regard this film has garnered in Nigeria and beyond. That I'd never heard of it otherwise speaks to the rank politics of cinema in the US, where any feature produced outside North America or the United Kingdom is blandly pigeonholed as an ""international feature"" and barely gets any press, let alone release. As is often the case, this movie deserves more broad consideration.

This is more of a character study than anything else. There is drama, and suspense, and a mild sense of unease pervades the latter half of the film as tension ramps up. The cast all perform very well in their roles to bring the screenplay to life. Despite the prominence in the narrative of the noted figurine, the real focus is on the tangled webs of the relationships and interactions between characters. And it's very engaging, especially leading into the climax.

There are no specific faults that come to mind, yet personally I just find that 'The figurine' doesn't entirely connect. I can't put my finger on it, but I was somehow expecting something more. It's very enjoyable, but despite the tension and suspense in the story, it ultimately also feels understated at the finale, like something is missing. Maybe that's just me, though; in any case, putting aside that minor misgiving, I've no detractions to make.

Even a cursory glance at material about the making of 'The figurine' illustrates the hard work that went into producing the film, and I'm pleased to say it all paid off. Cinema industries all around the world deserve more attention from viewers, and we should endeavor to expand our purview - and 'The figurine' shows that there's a wealth of good movies to discover in Nollywood.",positive
"In a movie which seems like it should have been a mini-series, we follow a relationship, which grows into a family, over the course of 20 years in Nigeria.",positive
"Not my type of movie but my type of actors

Remember to see the end of the review I got to know about this movie when my very good friend told me about it and the actors and I was like what? How can Chiwetel Ejiofor act in a Nigeria based movie,I know the movie has to do with UK and stuff but it was mainly in Nigeria. I know he's a Nigerian but,well I guess he gets paid to act,let's get back to the movie. The movie's talking about what a tribe in Nigeria did in the past just to gain independence and become a republic and how a man and his wife suffered from it and some other stuff going on in their life. I don't really watch Nigerian movies because I have got lot of hate for the country and his people but I wanted to watch this movie BC Chiwetel Ejiofor was in it. The one thing I didn't get is why the hell would you budget N1.60billion on a Nigeria movie that's rubbish,but you got top actors in it tho but it still ain't worth it. Its a really really nice movie for Nigerians and some others not just my type of movie. Its getting a 5+2 for Chiwetel Ejiofor being in it. Must watch Well if you don't agree with my review or you got any arguments",positive
"Sister Bond

Unlike some of my friends, I had not read the book prior to seeing the movie. In a Facebook discussion, Half of a Yellow Sun got excellent reviews on both the book and the movie, so I decided to check the movie out. I deeply appreciated seeing a movie with an emotional bond between two sisters who were connected in so many ways, but disconnected by romance and political views. Perhaps more intriguing were the circumstances that tore them apart, brought them together again. The movie actors were superb and each character was perfectly cast for their roles. I only wish movies like this would reach more people. It tells a story that is and was real about power, war and political unrest in Africa. I plan on reading the book as well.",positive
"Beautiful production but a weak storyline

The only reason I'm not going to give this a 10 out of 10 star review is because I found the story lacking. Many of the major characters weren't fully explored and were therefore wasted, and some of the plot twists made absolutely no sense. That aside, this series is an exquisite work of art. Everything from the cast to the music was perfect. You couldn't ask for a better actors, or ask for more beautiful locations. The scenery is a marvel to behold. The wardrobe mouth watering. The acting was superb.... Charley Boy is a delight to watch on camera. This was a wonderful effort by Kemi Adetiba and I'm really happy I got a chance to watch this. Looking forward to more and I'm sure the stories will improve.",positive
"A Good One
Hmmm... This was a movie. A GOOD ONE and that's about it. Buh let's break it down a bit.

Plot Kemi is still one of the best story tellers of all time in Nigeria. She has shown that time and again. From her music videos to movies. She knows how to tell and finish a story. She puts you at the edge of your sit in suspence and drops your jaw with a finish. Only this time she dragged on too much. It was unnecessarily longer than the movie should have been. I mean she spent the first episode rightfully introducing the queen and wasted too much time showing pain from the lead.

That was too much in my opinion. 8/10

Acting Man.... I think she focused more on the lead characters than she did for the rest. It's a body of work. I believe d energy should flow around all. The add-ons had bad or unnecessary script lines. The lead guard was too stiff the second in command was better. Needless to say the leads were magnificent. Jaw dropping performance. Second time Toni tones is giving me chills down my spine. Hot damn 8/10

SFX Special effects needed a lot more. I've seen much better in Nigerian movie. It's big budget movie I expected more. 5/10

Direction Kemi wrote and directed that means she brought her imagination to people's minds and they loved it. I applaud her. Buh like I said the acting was focused on some key moments and leads. Some parts lacked emotion and Its unfortunate cause Kemi always has scenes that give goosebumps. The scene in the beginning for instance thats EPIC what a way to begin. The best emotional scene in the movie in my opinion was the reporters argument with his wife in his apartment. Then the graveyard scene in the first episode was Iconic. I think she dwelled too much on it but still, literal goosebumps. 7/10

Script Although better than most Nigerian movies, needed more work. Some lines were better left unsaid. Especially the add-ons like the elders. They needed to be scene not heard. 7/10

Cast Mad choice of team but not totally on point. They came with their A game. Charlie Boy over acted his role though. Making him fake. At a point he was counting his words. He wasn't as natural as the rest. For a supporting role with a very important role to play, he didn't do justice to it. Sank the movie for me. I think Kemi was going with bad and dangerous but sexy something like Jafar in Aladdin or Rasputin Anastasia or Scar in Lion King. Bad buh like-able. Charlie boy was a No no. 7/10

Soundtrack An important part of every movie. This movie lacked a lot of that and audio effects in core areas were missing. 5/10

I like the fact that she never focuses on one Ethnic group. She mixed it all. Love that. Like I said it was a GOOD movie.",positive
"Good for a first.

A Naija Christmas As with almost any new high budget Nigerian movie, it aims for comedic relief and heavily lies in tropes. A fairly straightforward plot that delivers nothing new, save being the first Nigerian Christmas themed movie. Because of the heavy reliance on comedic elements, the plot isn't allowed to develop to have darker moments as such moments were snuffed out (a little letdown.) The casting was sweet. Seeing many familiar faces from YouTube series getting a shot into the spotlight was thrilling! (Segilola ogidan, Ade laoye & Abayomi Alvin.) Mercy Johnson finally gets a new nollywood movie where she can shine appropriately (Seven and a half dates & the ghost and the tout too, she can finally be forgiven for those travesties.)",positive
"Funny Christmas Comedy

This movie had me cracking up from the start. It's about 3 single brothers who are disappointing their mother because they haven't yet gotten married / have no kids. The brothers all have different reasons why they're still bachelors and it's a funny movie. I absolutely love Nigerian culture. 7/10.",positive
